,OBJECT,LAT,LON,ALTITUDE,ALT_NORM,NEAR_TEMPLE,NEAR_BATTLE_SITE,NEAR_ANCIENT_HARBOR,NEAR_POLIS,NEAR_MODERN_CITY,CLASSIFICATION
0,Salbgefäβ: Naschender Affe,37.9405556,23.6333333,0.315848112,0.75,1,1,1,1,1,1
1,Traufziegel des Schatzhauses von Epidamnos (?),37.9405556,23.6333333,0.315848112,0.75,1,1,1,1,1,1
2,Archaische Applik der bogenschießenden Artemis,38.9190379,20.8889257,3.121462822,0.78,1,1,1,1,1,1
3,Deckelpyxis mit Spiralverzierung,37.0853941,25.1515337,3.475231886,0.78,1,1,1,1,1,1
4,Minoische Gemme (Lentoid): Zwei Steinböcke in geducktem Lauf mit vorgestrecktem Kopf; in Gegenrichtung Bauch an Bauch angeordnet,36.761028,22.563999,3.854482651,0.79,1,1,1,1,0,1
5,Attische Kleeblattkanne,37.733796,23.9437715,4.010304451,0.79,1,1,1,1,1,1
6,Einschneidiges breites gekrümmtes Messer. Rasiermesser? Am Griffende auf der einen Seite eine kittartige Masse,38.1481953,22.3558193,5.445374966,0.8,1,1,1,1,1,1
7,Kleineres Messer derselben Form wie Inv. 30747. Rasiermesser?,38.1481953,22.3558193,5.445374966,0.8,1,1,1,1,1,1
8,Kurzes breites Dolchmesser. Klinge in zwei Teile gebrochen,38.1481953,22.3558193,5.445374966,0.8,1,1,1,1,1,1
9,Klinge eines Dolchmessers. Flache breite Mittelrippe,38.1481953,22.3558193,5.445374966,0.8,1,1,1,1,1,1
10,Große Speerspitze mit starker Mittelrippe,38.1481953,22.3558193,5.445374966,0.8,1,1,1,1,1,1
11,Minoische Statuette eines gegürteten Jünglings,38.1481953,22.3558193,5.445374966,0.8,1,1,1,1,1,1
12,Kurzes Schwert. Gute Erhaltung. Am Griff auf der einen Seite noch Holzreste von der Verschalung,38.1481953,22.3558193,5.445374966,0.8,1,1,1,1,1,1
13,Einschneidiges Messer. Der Rücken scheint eine Strecke weit mit regelmäßigen Kerben zur Verzierung versehen zu sein. Schneide teilweise durch die Patina zerfressen,38.1481953,22.3558193,5.445374966,0.8,1,1,1,1,1,1
14,Kurzes Schwert. Stück des Griffes war abgebrochen und ist wieder angesetzt. Sonst nur ganz geringe Beschädigungen. Äußerste Spitze fehlt. Am Griff geringe Holzreste,38.1481953,22.3558193,5.445374966,0.8,1,1,1,1,1,1
15,Speerspitze mit breiter flacher Mittelrippe,38.1481953,22.3558193,5.445374966,0.8,1,1,1,1,1,1
16,Beil. Gute Erhaltung. Auf der einen Seite eine unregelmäßige runde Vertiefung,38.1481953,22.3558193,5.445374966,0.8,1,1,1,1,1,1
17,Speerspitze mit breiter flache Mittelrippe,38.1481953,22.3558193,5.445374966,0.8,1,1,1,1,1,1
18,Makedonien: Incertum,38.3927202,23.7930669,5.906857491,0.81,1,1,1,1,1,1
19,Griechischer Klappspiegel mit Relief: Skylla,38.3927202,23.7930669,5.906857491,0.81,1,1,1,1,1,1
20,"Attisches Salbgefäβ in Form eines Afrikanerkopfes (""Negerkopfes"")",38.3927202,23.7930669,5.906857491,0.81,1,1,1,1,1,1
21,Griechischer Klappspiegel mit einem Reliefkopf der Aphrodite nach rechts,38.3927202,23.7930669,5.906857491,0.81,1,1,1,1,1,1
22,Griechischer Handspiegel,38.3927202,23.7930669,5.906857491,0.81,1,1,1,1,1,1
23,Griff eines Gerätes in Form eines Hirschs (falsche Inv. Nr.). Achtung: Die richtige Inv. ist: Ol. 2097,37.9386365,22.9322383,6.110388279,0.81,1,1,1,1,0,1
24,Geweih eines Hirsches,37.9386365,22.9322383,6.110388279,0.81,1,1,1,1,0,1
25,Rand einer kleinen Omphalosschale,37.9386365,22.9322383,6.110388279,0.81,1,1,1,1,0,1
26,Drei Fragmente eines Diadems aus dünnem Blech. Sie sind verziert mit einem Band von Lotosblüten,37.9386365,22.9322383,6.110388279,0.81,1,1,1,1,0,1
27,Grabrelief der Mynno,37.9386365,22.9322383,6.110388279,0.81,1,1,1,1,0,1
28,Rachepuppe. Junge männliche nackte Figur. Hände auf den Rücken. Körper mit eingeritzten Namen bedeckt. Eine Hälfte abgeschmolzen,37.9386365,22.9322383,6.110388279,0.81,1,1,1,1,0,1
29,Protokorinthischer Spitzaryballos,37.9386365,22.9322383,6.110388279,0.81,1,1,1,1,0,1
30,Greifenprotome,37.9386365,22.9322383,6.110388279,0.81,1,1,1,1,0,1
